title,genre
1. Once Upon a Time... in Hollywood,comedy
2. My Cousin Vinny,comedy
3. 500 Days of Summer,comedy
4. Kung Fu Panda,comedy
5. Office Space,comedy
6. Deadpool 2,comedy
7. After Hours,comedy
8. Midnight in Paris,comedy
9. What We Do in the Shadows,comedy
10. Toy Story 4,comedy
11. Rushmore,comedy
12. Ponyo,comedy
13. The Mitchells vs. the Machines,comedy
14. 50/50,comedy
15. The Little Prince,comedy
16. The Purple Rose of Cairo,comedy
17. Down by Law,comedy
18. Zelig,comedy
19. The Goonies,comedy
20. Kingsman: The Secret Service,comedy
21. The Hangover,comedy
22. Airplane!,comedy
23. Lost in Translation,comedy
24. Home Alone,comedy
25. The Lego Movie,comedy
